timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 29, 2026 @ 20:12:15.634",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:15.634",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`procs_priv`'",3,100711
"Jun 29, 2026 @ 20:12:15.622",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:15.622",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`proc`'",3,100711
"Jun 29, 2026 @ 20:12:15.622",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:15.531",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:14.423",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:14.423",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`tables_priv`'",3,100711
"Jun 29, 2026 @ 20:12:14.318",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:14.318",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:14.253",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:14.252",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:14.252",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`servers`'",3,100711
"Jun 29, 2026 @ 20:12:14.193",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:14.193",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`roles_mapping`'",3,100711
"Jun 29, 2026 @ 20:12:14.128",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`func`'",3,100711
"Jun 29, 2026 @ 20:12:14.128",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:14.128",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:14.076",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:14.076",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`index_stats`'",3,100711
"Jun 29, 2026 @ 20:12:14.034",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`columns_priv`'",3,100711
"Jun 29, 2026 @ 20:12:14.034",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:14.034",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.942",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.942",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`help_relation`'",3,100711
"Jun 29, 2026 @ 20:12:13.942",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.939",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`time_zone_transition`'",3,100711
"Jun 29, 2026 @ 20:12:13.938",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.938",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.938",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.938",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.928",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 29, 2026 @ 20:12:13.928",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 29, 2026 @ 20:12:13.928",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select count(*) into @discard from `mysql`.`time_zone_transition_type`'",3,100711
